Организация,Банковский счет,Дата,Начальный остаток,Поступление,Списание,Конечный остаток,Изменение
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-02,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-03,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-04,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-05,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-06,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-07,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-08,46802.106000000014,0.0,0.0,46802.106000000014,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-09,46802.106000000014,0.0,254.47500000000002,46547.631000000016,-254.47500000000002
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-10,46547.631000000016,0.0,0.0,46547.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-11,46547.631000000016,2535.0,0.0,49082.631000000016,2535.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-12,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-13,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-14,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-15,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-16,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-17,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-18,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-19,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-20,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-21,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-22,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-23,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-24,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-25,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-26,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-27,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-28,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-29,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-30,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-31,49082.631000000016,0.0,0.0,49082.631000000016,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-01,49082.631000000016,0.40950000000000003,0.0,49083.04050000002,0.40950000000000003
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-02,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-03,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-04,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-05,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-06,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-07,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-08,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-09,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-10,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-11,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-12,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-13,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-14,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-15,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-16,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-17,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-18,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-19,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-20,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-21,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-22,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-23,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-24,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-25,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-26,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-27,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-28,49083.04050000002,0.0,0.0,49083.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-29,49083.04050000002,0.0,3900.0,45183.04050000002,-3900.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-04-30,45183.04050000002,0.0,0.0,45183.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-01,45183.04050000002,0.0,0.0,45183.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-02,45183.04050000002,0.0,0.0,45183.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-03,45183.04050000002,0.0,0.0,45183.04050000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-04,45183.04050000002,0.39000000000000007,0.0,45183.43050000002,0.39000000000000007
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-05,45183.43050000002,0.0,44850.0,333.43050000001676,-44850.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-06,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-07,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-08,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-09,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-10,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-11,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-12,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-13,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-14,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-15,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-16,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-17,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-18,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-19,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-20,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-21,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-22,333.43050000001676,0.0,0.0,333.43050000001676,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-05-23,333.43050000001676,0.0,0.0,333.43050000001676,0.0
