Организация,Статья движения денежных средств,Дата,Начальный остаток,Поступление,Списание,Конечный остаток,Изменение
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-01,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-02,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-03,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-04,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-05,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-06,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-07,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-08,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-09,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-10,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-11,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-12,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-13,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-14,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-15,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-16,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-17,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-18,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-19,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-20,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-21,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-22,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-23,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-24,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-25,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-26,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-27,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-28,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-29,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-30,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-08-31,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-01,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-02,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-03,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-04,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-05,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-06,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-07,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-08,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-09,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-10,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-11,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-12,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-13,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-14,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-15,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-16,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-17,7500.0,3000.0,0.0,10500.0,3000.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-18,10500.0,0.0,0.0,10500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-19,10500.0,0.0,0.0,10500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-20,10500.0,0.0,0.0,10500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-21,10500.0,0.0,0.0,10500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-22,10500.0,0.0,0.0,10500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-23,10500.0,4500.0,0.0,15000.0,4500.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-24,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-25,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-26,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-27,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-28,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-29,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-09-30,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-01,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-02,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-03,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-04,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-05,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-06,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-07,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-08,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-09,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-10,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-11,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-12,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-13,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-14,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-15,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-16,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-17,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-18,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-19,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-20,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-21,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-22,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-23,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-24,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-25,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-26,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-27,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-28,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-29,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-30,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-10-31,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-01,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-02,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-03,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-04,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-05,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-06,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-07,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-08,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-09,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-10,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-11,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-12,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-13,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-14,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-15,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-16,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-17,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-18,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-19,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-20,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-21,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-22,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-23,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-24,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-25,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-26,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-27,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-28,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-29,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-11-30,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-01,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-02,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-03,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-04,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-05,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-06,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-07,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-08,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-09,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-10,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-11,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-12,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-13,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-14,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-15,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-16,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-17,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-18,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-19,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-20,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-21,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-22,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-23,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-24,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-25,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-26,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-27,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-28,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-29,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-30,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-12-31,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-01,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-02,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-03,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-04,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-05,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-06,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-07,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-08,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-09,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-10,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-11,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-12,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-13,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-14,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-15,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-16,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-17,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-18,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-19,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-20,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-21,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-22,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-23,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-24,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-25,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-26,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-27,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-28,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-29,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-30,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-01-31,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-02-01,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-02-02,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-02-03,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-02-04,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-02-05,15000.0,0.0,0.0,15000.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2022-02-06,15000.0,0.0,0.0,15000.0,0.0
